,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price
1876,,,,,,,
1877,,,,,,,
1878,8.56%,5.55%,-1.60%,-4.47%,-,27.94,19.03
1879,4.28%,0.79%,5.72%,12.03%,37.88%,53.40,45.69
1880,,,,,,,
1881,1.54%,-1.42%,1.11%,7.39%,50.67%,17.88,14.36
1882,2.72%,3.86%,9.06%,10.30%,28.48%,29.00,27.20
1883,1.07%,-0.02%,-2.91%,-9.40%,-39.38%,-,40.70
1884,-1.50%,0.39%,-4.26%,0.01%,47.79%,1025.00,820.37
1885,,,,,,,
1886,,,,,,,
1887,3.39%,-3.58%,3.15%,0.44%,22.13%,5.25,4.53
1888,,,,,,,
1889,2.60%,4.08%,3.64%,3.60%,41.67%,25.90,24.39
1890,1.72%,2.20%,12.42%,4.84%,44.49%,48.33,51.39
1891,,,,,,,
1892,2.25%,1.98%,-8.12%,-3.78%,18.41%,29.83,27.15
1893,,,,,,,
1894,,,,,,,
1895,2.52%,3.18%,-1.09%,0.38%,14.07%,49.83,41.60
1896,4.23%,1.22%,7.43%,4.29%,32.06%,22.45,20.57
1897,,,,,,,
1898,2.28%,9.09%,13.95%,14.93%,28.80%,19.50,20.20
1899,,,,,,,
1900,,,,,,,
1901,,,,,,,
1902,,,,,,,
1903,,,,,,,
1904,3.84%,-21.90%,-,-,-,26.17,16.03
1905,2.11%,-3.85%,2.01%,15.35%,65.14%,41.33,29.99
1906,3.42%,4.62%,4.51%,2.50%,22.11%,23.62,21.70
1907,3.60%,-1.84%,7.53%,13.73%,43.26%,69.67,197.10
1908,,,,,,,
1909,-1.74%,-10.81%,-15.11%,-30.53%,-9.38%,-,3.99
1910,-0.94%,6.98%,-5.78%,-2.45%,-6.79%,131.60,105.27
1911,10.53%,-0.45%,10.85%,6.68%,21.43%,236.26,206.46
1912,,,,,,,
1913,-3.68%,-12.99%,-32.08%,-50.00%,-57.65%,6.50,2.88
1914,4.98%,4.68%,1.89%,2.69%,4.44%,23.25,18.43
1915,-2.97%,-13.58%,-23.15%,-22.90%,-8.03%,6.25,2.38
1916,7.45%,-5.42%,-15.71%,-34.27%,-17.95%,-,26.78
1917,4.95%,-1.70%,-,-,-,45.23,34.87
1918,-1.06%,-17.52%,-41.69%,-39.61%,-37.48%,10.00,3.79
1919,-16.21%,-24.33%,-20.24%,-65.78%,-77.73%,13.25,4.26
1920,6.74%,-11.34%,-14.00%,2.15%,-,53.50,37.55
1921,,,,,,,
1922,3.76%,-5.29%,15.54%,24.49%,38.93%,76.50,60.08
1923,,,,,,,
1924,-13.71%,-11.96%,4.97%,163.89%,442.86%,-,9.91
1925,0.21%,-15.20%,-5.31%,-17.31%,-16.55%,-,14.58
1926,,,,,,,
1927,,,,,,,
1928,,,,,,,
1929,-3.39%,-10.05%,-37.09%,-43.91%,-61.73%,53.86,14.75
1930,-9.17%,-20.91%,-31.80%,-93.81%,-94.18%,3.50,2.18
1931,8.10%,6.83%,26.97%,53.97%,148.59%,368.50,363.31
1932,-8.68%,-13.26%,-32.78%,-32.21%,-20.39%,10.33,2.46
1933,,,,,,,
1934,,,,,,,
1935,6.44%,18.15%,40.98%,34.70%,59.00%,119.17,121.17
1936,,,,,,,
1937,,,,,,,
1938,,,,,,,
1939,,,,,,,
1940,0.51%,0.46%,-7.85%,-0.11%,27.81%,45.17,37.47
1941,0.50%,-0.32%,-7.70%,-2.33%,19.44%,45.17,34.74
1942,0.00%,-0.10%,1.02%,0.91%,-,-,9.94
1943,0.08%,11.70%,39.88%,50.27%,93.86%,61.71,52.42
1944,-14.74%,-18.18%,-57.54%,-64.67%,-85.52%,-,3.25
1945,,,,,,,
1946,-3.57%,-1.56%,-16.37%,-36.26%,62.93%,5.25,3.85
1947,-4.59%,-2.44%,-25.82%,-47.79%,-85.30%,13.25,5.70
1948,-3.89%,-14.03%,-35.00%,-42.67%,-33.39%,140.50,96.33
1949,,,,,,,
1950,,,,,,,
1951,2.54%,-13.00%,7.74%,13.33%,-,45.40,30.09
1952,0.10%,-0.10%,-,-,-,-,9.70
1953,,,,,,,
1954,-20.28%,-42.71%,-22.22%,-42.58%,-53.14%,7.38,5.39
1955,-6.19%,16.33%,-40.01%,59.06%,36.86%,35.43,17.11
1956,3.00%,20.27%,19.53%,17.61%,204.43%,15.33,11.97
1957,4.98%,7.25%,11.02%,10.18%,38.42%,17.67,17.06
1958,1.29%,13.86%,1.18%,-11.18%,78.98%,24.89,19.22
1959,,,,,,,
1960,-0.63%,-30.26%,-22.74%,-44.87%,-58.16%,27.00,8.20
1961,,,,,,,
1962,,,,,,,
1963,,,,,,,
1964,-13.90%,-26.82%,-26.15%,-56.13%,257.78%,-,1.69
1965,,,,,,,
1966,,,,,,,
1967,,,,,,,
1968,,,,,,,
1969,3.12%,23.13%,13.01%,-7.82%,21.32%,-,1.69
1970,,,,,,,
1971,,,,,,,
1972,,,,,,,
1973,-7.18%,-30.45%,-30.72%,-47.00%,-,27.00,5.33
1974,10.00%,16.20%,-8.84%,-34.78%,-74.62%,12.50,3.25
1975,-3.91%,-15.78%,7.91%,-,-,16.00,10.22
1976,,,,,,,
1977,,,,,,,
1978,2.39%,-2.31%,-13.92%,-5.96%,13.94%,163.14,136.96
1979,,,,,,,
1980,-15.45%,-31.13%,-29.73%,-59.45%,-71.11%,-,2.15
1981,,,,,,,
1982,1.05%,4.35%,-30.43%,-55.49%,-72.55%,17.25,2.93
1983,,,,,,,
1984,11.61%,-3.19%,-23.05%,-28.10%,-38.53%,8.62,3.94
1985,-2.02%,-0.94%,5.16%,-4.44%,-4.68%,19.00,11.63
1986,-0.41%,-0.52%,-0.63%,-0.90%,-3.00%,-,48.58
1987,,,,,,,
1988,,,,,,,
1989,-5.64%,-58.43%,-70.36%,-73.23%,-78.14%,22.80,7.35
1990,0.70%,2.21%,11.01%,20.75%,41.22%,-,11.87
1991,,,,,,,
1992,,,,,,,
1993,-6.92%,-19.33%,-54.34%,-63.88%,-72.87%,5.75,1.18
1994,10.58%,1.89%,6.86%,22.93%,35.31%,89.20,87.41
1995,,,,,,,
1996,,,,,,,
1997,,,,,,,
1998,,,,,,,
1999,1.49%,-1.35%,0.38%,5.89%,20.64%,42.00,39.06
2000,,,,,,,
2001,-11.31%,-24.05%,-32.15%,-39.61%,-4.98%,14.67,4.49
2002,,,,,,,
2003,-4.39%,-13.49%,-12.45%,-28.05%,-31.87%,1.50,2.18
2004,2.51%,4.23%,3.81%,6.94%,29.58%,76.88,73.67
2005,,,,,,,
2006,4.72%,-2.12%,2.12%,0.96%,30.69%,11.50,11.58
2007,3.68%,15.32%,19.50%,12.46%,42.93%,25.00,25.66
2008,,,,,,,
2009,,,,,,,
2010,,,,,,,
2011,0.47%,4.96%,7.58%,1.25%,32.41%,-,13.30
2012,,,,,,,
2013,-10.04%,-24.27%,40.86%,-,-,-,10.26
2014,,,,,,,
2015,3.06%,-1.52%,-13.74%,8.09%,-,78.56,63.60
2016,2.51%,-9.55%,-,-,-,78.43,64.69
2017,-0.12%,-3.94%,-7.13%,-7.64%,-6.55%,-,25.00
2018,,,,,,,
2019,,,,,,,
2020,4.60%,7.36%,14.03%,9.21%,42.25%,7.00,5.70
2021,0.61%,0.20%,0.71%,1.86%,-,-,9.82
2022,6.76%,-6.83%,-8.87%,-0.18%,14.81%,21.00,16.88
2023,,,,,,,
2024,0.05%,0.28%,1.00%,1.91%,-,-,10.13
2025,-1.81%,-13.55%,-25.43%,-44.07%,-61.80%,6.25,2.15
2026,,,,,,,
2027,,,,,,,
2028,-0.66%,2.71%,11.92%,-8.93%,28.92%,12.30,10.66
2029,-1.99%,3.85%,-18.00%,20.91%,45.15%,18.50,13.84
2030,,,,,,,
2031,-12.19%,-23.96%,-44.41%,-24.37%,-62.14%,21.96,10.12
2032,,,,,,,
2033,0.30%,0.81%,1.53%,-,-,-,9.95
2034,3.49%,3.00%,-2.65%,0.06%,11.01%,15.95,15.43
2035,-0.23%,-5.66%,-18.30%,5.87%,69.14%,-,4.34
2036,,,,,,,
2037,,,,,,,
2038,,,,,,,
2039,-2.48%,-25.47%,9.78%,17.78%,-,-,12.27
2040,,,,,,,
2041,,,,,,,
2042,,,,,,,
2043,-4.66%,-48.44%,-31.96%,-40.51%,-46.21%,12.50,7.05
2044,,,,,,,
2045,-14.29%,-31.76%,-45.28%,-67.96%,-93.57%,4.50,1.79
2046,,,,,,,
2047,-4.02%,-10.40%,-10.40%,-11.68%,-16.36%,-,3.11
2048,,,,,,,
2049,1.88%,6.59%,7.03%,10.46%,22.64%,61.33,59.17
2050,,,,,,,
2051,-0.81%,-8.38%,11.59%,5.38%,163.22%,49.70,35.20
2052,,,,,,,
2053,-31.77%,-42.36%,-45.24%,-59.86%,-69.46%,-,8.30
2054,,,,,,,
2055,,,,,,,
2056,-11.05%,-25.63%,-60.72%,-79.70%,-77.03%,5.22,0.96
2057,-6.43%,-25.27%,6.29%,-38.68%,-56.48%,-,0.64
2058,,,,,,,
2059,,,,,,,
2060,-0.39%,20.29%,19.15%,38.34%,231.50%,19.67,13.16
2061,-17.22%,-30.52%,-49.42%,-50.57%,17.78%,-,1.80
2062,-3.50%,8.02%,2.16%,-45.09%,-38.18%,29.58,24.57
2063,-5.99%,-25.21%,-49.82%,-73.91%,-67.41%,33.00,13.36
2064,,,,,,,
2065,,,,,,,
2066,,,,,,,
2067,2.98%,0.99%,4.44%,10.57%,35.28%,41.88,37.75
2068,-4.72%,-7.35%,-20.51%,-22.49%,-20.85%,166.75,100.42
2069,-18.55%,-34.37%,-45.92%,-61.59%,-70.45%,-,0.67
2070,-0.50%,0.00%,-0.87%,-12.17%,21.41%,4.00,3.99
2071,5.02%,-3.23%,-7.44%,17.62%,-,111.00,75.20
2072,16.69%,-1.43%,-7.53%,-27.71%,-35.85%,-,13.00
2073,3.99%,-10.64%,-8.05%,-15.92%,20.47%,37.43,27.77
2074,0.31%,-12.23%,-9.39%,-11.91%,-2.53%,-,19.31
2075,-4.24%,-17.22%,-30.29%,-52.69%,-42.87%,41.00,10.79
2076,2.81%,-8.96%,-38.12%,-44.40%,-52.76%,23.80,9.36
2077,6.38%,-7.41%,-33.63%,-61.93%,-82.52%,-,1.54
2078,,,,,,,
2079,-11.93%,-12.07%,-1.14%,-0.14%,-,40.67,21.99
2080,0.44%,-17.38%,-12.36%,-17.97%,-38.94%,-,4.74
2081,-16.45%,-24.28%,-52.84%,-79.68%,-56.91%,25.33,3.25
2082,9.45%,-0.90%,-9.59%,-7.17%,35.52%,9.67,6.70
2083,14.18%,0.21%,-2.96%,36.69%,33.99%,-,9.81
2084,-0.61%,-0.40%,0.11%,-,-,-,9.73
2085,-0.81%,-1.37%,-10.02%,-21.57%,-12.31%,17.33,8.77
2086,-5.65%,-12.85%,-43.19%,-32.19%,-3.12%,14.00,2.16
2087,1.59%,234.33%,-44.14%,-54.43%,-56.16%,15.50,4.57
2088,-13.79%,-31.10%,-38.60%,-42.43%,-46.65%,17.60,1.83
2089,,,,,,,
2090,-1.57%,-7.41%,-35.06%,-61.00%,-70.20%,15.00,2.55
2091,-0.20%,-1.00%,-0.90%,-1.98%,-,-,9.90
2092,3.70%,4.65%,1.48%,3.40%,13.93%,54.24,48.15
2093,-,-,-,-,-,-,10.06
2094,,,,,,,
2095,8.54%,8.83%,7.66%,0.38%,73.00%,15.00,8.14
2096,,,,,,,
2097,,,,,,,
2098,,,,,,,
2099,,,,,,,
2100,,,,,,,
2101,,,,,,,
2102,,,,,,,
2103,,,,,,,
2104,,,,,,,
2105,-6.96%,-14.40%,-23.02%,-41.85%,-22.46%,5.00,1.13
2106,24.76%,-10.37%,-41.55%,-48.29%,-47.84%,6.12,1.19
2107,,,,,,,
2108,4.47%,-1.64%,4.13%,5.23%,3.51%,37.00,34.88
2109,,,,,,,
2110,,,,,,,
2111,-6.52%,-12.44%,-17.11%,-25.40%,11.68%,10.00,3.85
2112,,,,,,,
2113,-7.35%,-23.57%,-29.01%,-17.43%,-26.67%,-,6.82
2114,-6.06%,-14.48%,-10.14%,-12.06%,-20.00%,4.20,1.32
2115,,,,,,,
2116,2.97%,-5.50%,-1.54%,-11.09%,-4.95%,89.25,67.71
2117,-0.10%,-0.20%,1.23%,-,-,-,9.91
2118,-3.87%,3.30%,-18.44%,-29.17%,15.92%,-,7.17
2119,-4.21%,-9.17%,-,-,-,123.22,88.99
2120,2.55%,2.83%,1.62%,3.59%,25.81%,62.40,56.92
2121,,,,,,,
2122,,,,,,,
2123,3.86%,2.86%,22.17%,18.51%,68.78%,14.75,16.89
2124,8.87%,17.60%,46.19%,40.23%,134.31%,28.07,33.19
2125,,,,,,,
2126,-2.86%,8.11%,17.25%,-13.62%,-31.48%,70.75,30.94
2127,,,,,,,
2128,,,,,,,
2129,,,,,,,
2130,-24.22%,-43.78%,-46.26%,-67.81%,-,-,1.19
2131,,,,,,,
2132,,,,,,,
2133,-0.49%,-1.17%,-,-,-,-,10.10
2134,,,,,,,
2135,,,,,,,
2136,,,,,,,
2137,-10.85%,-22.82%,-30.72%,-54.55%,-57.88%,7.50,1.20
2138,-7.64%,-15.70%,-36.12%,-37.50%,-61.44%,9.00,1.47
2139,-1.97%,1.46%,-30.26%,-68.96%,-73.85%,6.79,3.69
2140,-0.31%,-0.41%,0.31%,0.93%,-,-,9.73
2141,,,,,,,
2142,0.49%,1.92%,-2.16%,-7.85%,31.72%,17.92,12.25
2143,,,,,,,
2144,-0.02%,9.13%,2.21%,12.34%,162.82%,65.80,50.47
2145,7.28%,-6.16%,-13.39%,-18.57%,99.78%,14.11,9.07
2146,,,,,,,
2147,,,,,,,
2148,,,,,,,
2149,-10.38%,-19.93%,-21.47%,-10.83%,-23.82%,45.59,32.59
2150,6.31%,2.93%,19.49%,24.78%,107.46%,24.29,21.34
2151,-1.68%,-6.38%,-13.82%,3.29%,5.57%,159.00,129.97
2152,-1.69%,-21.62%,7.27%,13.26%,-,-,11.43
2153,,,,,,,
2154,,,,,,,
2155,,,,,,,
2156,,,,,,,
2157,-0.37%,-0.28%,-18.02%,32.76%,11.83%,19.62,11.22
2158,0.70%,16.56%,-2.52%,-5.27%,-7.00%,101.40,85.86
2159,4.56%,30.67%,-31.25%,-62.71%,-,34.67,12.06
2160,,,,,,,
2161,,,,,,,
2162,1.10%,3.23%,2.42%,7.19%,20.93%,17.68,15.92
2163,0.63%,-15.49%,36.22%,11.32%,12.16%,123.07,111.75
2164,5.21%,17.34%,44.03%,34.21%,31.95%,31.17,30.41
2165,-9.52%,-19.52%,-48.10%,-63.37%,-27.17%,12.62,4.63
2166,2.22%,0.61%,1.59%,107.03%,152.53%,8.25,11.49
2167,,,,,,,
2168,5.83%,7.51%,-1.09%,24.91%,41.21%,-,36.95
2169,-3.78%,-11.58%,-33.86%,-,-,82.00,17.35
2170,-7.81%,-11.58%,2.04%,-17.22%,-10.61%,14.00,6.53
2171,4.69%,11.13%,3.55%,-16.87%,5.12%,-,7.80
2172,,,,,,,
2173,-21.61%,-31.64%,-44.38%,-51.58%,-37.83%,76.50,24.10
2174,-1.58%,-5.29%,29.69%,148.77%,210.55%,40.67,38.08
2175,22.23%,19.69%,17.57%,63.94%,388.25%,25.50,16.30
2176,-0.53%,-1.97%,32.60%,-18.21%,-29.88%,28.43,28.24
2177,0.00%,-0.31%,0.52%,0.62%,-,-,9.75
2178,-6.70%,-19.42%,-25.57%,-37.00%,-,10.00,4.14
2179,,,,,,,
2180,,,,,,,
2181,,,,,,,
2182,3.13%,2.71%,35.81%,34.18%,126.77%,27.00,32.19
2183,2.54%,-16.55%,-69.44%,-,-,-,1.19
2184,,,,,,,
2185,-8.30%,-26.66%,-5.90%,-31.91%,4.61%,-,4.39
2186,,,,,,,
2187,3.43%,2.46%,20.08%,7.52%,23.08%,20.00,18.78
2188,,,,,,,
2189,,,,,,,
2190,,,,,,,
2191,-5.34%,-30.91%,3.91%,-6.98%,35.03%,-,2.70
2192,0.51%,2.87%,6.94%,17.58%,56.45%,-,24.25
2193,-3.23%,-25.47%,-60.07%,-73.80%,-78.18%,11.23,2.56
2194,,,,,,,
2195,4.77%,-2.11%,5.57%,15.76%,48.68%,26.00,20.82
2196,-13.64%,-21.24%,-42.64%,-61.32%,22.58%,5.00,1.55
2197,3.46%,-9.47%,-14.03%,-11.32%,85.27%,4.00,2.41
2198,2.83%,21.06%,1.61%,-11.28%,-4.50%,50.92,40.68
2199,-0.20%,-0.41%,-0.10%,-0.10%,-,-,9.75
2200,,,,,,,
2201,4.50%,1.62%,5.87%,12.78%,49.61%,58.44,50.21
2202,,,,,,,
2203,,,,,,,
2204,-6.07%,-3.31%,14.85%,-18.83%,-38.26%,-,2.70
2205,1.56%,6.77%,6.39%,4.46%,39.61%,15.83,14.90
2206,7.88%,6.34%,36.27%,39.79%,63.60%,12.50,11.81
2207,2.30%,26.21%,-4.06%,-45.49%,-55.97%,25.50,7.78
2208,,,,,,,
2209,,,,,,,
2210,-6.89%,-3.99%,5.48%,19.38%,196.15%,17.00,7.68
2211,4.76%,8.67%,3.86%,-12.73%,73.51%,10.00,7.24
2212,3.10%,0.38%,7.88%,5.28%,6.56%,115.92,100.70
2213,-2.36%,0.65%,-15.92%,-23.47%,3.55%,19.92,18.77
2214,5.31%,18.71%,14.53%,22.26%,53.12%,44.00,40.10
2215,,,,,,,
2216,-0.10%,-0.51%,-0.10%,-2.40%,-,-,9.76
2217,-0.20%,-0.51%,0.20%,-5.49%,-18.17%,-,9.84
2218,0.27%,-23.30%,-34.33%,-45.34%,-36.35%,61.50,44.68
2219,,,,,,,
2220,4.74%,-3.11%,-31.57%,-44.73%,-36.98%,23.09,17.42
2221,3.87%,-29.35%,-,-,-,-,1.78
2222,,,,,,,
2223,3.85%,-0.29%,4.17%,2.11%,-2.99%,18.43,16.94
2224,-19.08%,-26.90%,-46.10%,-52.75%,-39.77%,20.67,3.35
2225,-9.03%,-31.99%,-59.15%,-43.78%,-44.16%,13.00,5.64
2226,9.65%,3.15%,24.13%,36.03%,103.47%,110.00,106.27
2227,-0.20%,-0.30%,0.41%,-2.08%,-,-,9.89
2228,-2.41%,-8.20%,-41.15%,-38.31%,-29.39%,14.50,7.43
2229,,,,,,,
2230,,,,,,,
2231,-0.61%,-0.31%,-1.11%,-3.26%,-,-,9.78
2232,0.21%,-0.62%,-,-,-,-,9.69
2233,6.99%,5.82%,-0.28%,5.22%,18.78%,85.91,78.11
2234,-6.50%,-5.74%,-25.32%,-41.92%,-44.71%,5.50,1.15
2235,3.58%,2.97%,-6.54%,-2.88%,5.49%,27.50,24.40
2236,17.81%,3.61%,-12.69%,-32.02%,-42.28%,5.50,1.77
2237,-2.17%,3.28%,-14.63%,-39.11%,-54.78%,31.50,9.63
2238,11.07%,-2.85%,28.02%,-,-,31.00,24.48
2239,,,,,,,
2240,,,,,,,
2241,,,,,,,
2242,,,,,,,
2243,,,,,,,
2244,-1.86%,-9.99%,4.77%,8.05%,96.66%,26.00,19.93
2245,,,,,,,
2246,12.46%,-9.22%,-31.38%,-5.50%,-2.56%,22.63,14.10
2247,-1.38%,-1.16%,1.49%,12.54%,4.67%,85.30,75.79
2248,2.85%,2.85%,7.31%,9.84%,46.88%,46.67,41.80
2249,,,,,,,
2250,-0.39%,-,-,-,-,-,9.71
2251,3.27%,2.53%,25.43%,27.25%,56.24%,56.17,51.64
2252,,,,,,,
2253,-3.62%,-9.38%,-26.31%,-52.25%,-,13.69,7.95
2254,2.06%,-3.02%,-17.40%,-34.24%,-27.29%,43.00,23.00
2255,3.08%,1.45%,0.89%,3.88%,36.64%,16.90,14.73
2256,3.98%,7.47%,14.46%,21.29%,37.81%,23.60,20.88
2257,2.43%,6.42%,-1.08%,16.01%,55.50%,143.31,109.11
2258,3.28%,16.65%,15.59%,26.37%,42.28%,21.90,20.44
2259,-10.83%,-20.84%,-42.63%,-58.76%,-58.24%,3.88,0.71
2260,2.77%,3.16%,7.00%,35.59%,88.21%,24.00,21.97
2261,,,,,,,
2262,-1.21%,93.75%,646.03%,558.35%,-,-,30.76
2263,-6.55%,15.77%,2.80%,-31.28%,-23.28%,-,2.48
2264,,,,,,,
2265,12.69%,-6.09%,79.64%,55.89%,161.27%,44.00,29.34
2266,,,,,,,
2267,,,,,,,
2268,-3.17%,-37.54%,-39.90%,-78.94%,-78.90%,21.12,4.07
2269,2.39%,0.39%,-1.53%,8.13%,25.24%,17.78,15.48
2270,3.86%,8.26%,-3.69%,2.42%,-12.86%,70.00,50.44
2271,-6.48%,-40.00%,-2.05%,73.86%,159.32%,-,7.75
2272,6.74%,15.60%,95.45%,78.20%,178.38%,8.10,10.43
2273,-10.96%,-5.80%,-57.24%,-78.76%,-91.66%,13.00,0.64
2274,,,,,,,
2275,-0.07%,-21.84%,-28.89%,-53.87%,-43.59%,48.33,29.02
2276,,,,,,,
2277,3.97%,-13.47%,8.62%,-36.47%,-38.21%,14.83,6.59
2278,3.02%,1.34%,26.77%,34.51%,52.73%,50.25,44.08
2279,-2.83%,-16.96%,-24.76%,-,-,10.00,2.47
2280,-14.99%,-37.28%,-61.40%,-87.89%,-81.51%,-,0.74
2281,2.66%,15.20%,35.17%,53.31%,3.64%,-,8.17
2282,,,,,,,
2283,,,,,,,
2284,44.35%,35.05%,-7.42%,-9.81%,11.73%,9.67,5.11
2285,,,,,,,
2286,1.86%,3.23%,-3.15%,5.13%,5.53%,50.50,42.28
2287,10.12%,4.21%,21.86%,0.22%,34.74%,5.00,4.50
2288,7.94%,-2.81%,19.30%,14.22%,34.35%,115.17,105.50
2289,,,,,,,
2290,,,,,,,
2291,5.45%,3.01%,16.58%,23.92%,109.40%,24.33,23.59
2292,-3.78%,-25.69%,-44.43%,-66.51%,-70.61%,3.00,0.53
2293,,,,,,,
2294,,,,,,,
2295,4.06%,21.84%,15.88%,53.56%,20.35%,57.00,44.48
2296,,,,,,,
2297,-2.90%,-12.91%,-4.08%,-6.35%,50.26%,16.12,8.87
2298,,,,,,,
2299,5.72%,-,-,-,-,-,91.33
2300,,,,,,,
2301,2.89%,5.82%,9.86%,10.29%,25.13%,-,25.24
2302,3.09%,-0.65%,11.01%,16.87%,74.84%,52.00,41.11
2303,0.00%,-0.80%,-0.10%,-4.23%,-14.20%,-,9.97
2304,3.28%,-9.03%,-20.85%,-28.52%,-8.93%,60.64,40.69
2305,,,,,,,
2306,9.42%,9.75%,10.08%,12.81%,-,-,10.92
2307,0.77%,8.51%,-9.47%,-6.91%,18.44%,32.50,26.19
2308,,,,,,,
2309,-0.20%,-0.41%,-0.10%,0.41%,-,-,9.75
2310,,,,,,,
2311,,,,,,,
2312,,,,,,,
2313,3.13%,5.42%,5.03%,8.81%,28.08%,61.50,51.29
2314,,,,,,,
2315,2.45%,2.64%,-1.45%,-0.65%,51.94%,55.00,44.08
2316,1.48%,-0.62%,6.59%,7.22%,9.25%,267.25,244.51
2317,-9.48%,-24.13%,-63.54%,-68.60%,-63.24%,20.75,5.41
2318,,,,,,,
2319,2.34%,-1.88%,11.28%,17.11%,22.76%,208.30,10.92
2320,,,,,,,
2321,,,,,,,
2322,3.31%,7.05%,0.94%,6.47%,33.75%,13.50,11.87
2323,,,,,,,
2324,,,,,,,
2325,3.19%,-3.99%,6.74%,7.78%,57.43%,38.40,31.94
2326,3.36%,1.47%,0.53%,-8.77%,10.86%,-,5.55
2327,2.58%,6.21%,-31.06%,-23.51%,23.30%,245.75,184.85
2328,3.28%,-14.72%,-6.72%,-20.28%,50.39%,112.17,71.21
2329,-7.08%,-30.61%,-29.36%,-45.88%,52.73%,-,4.32
2330,4.99%,10.91%,72.89%,53.13%,-1.42%,22.70,15.41
2331,-5.10%,-9.58%,4.18%,-3.18%,-5.45%,-,3.83
2332,7.40%,-1.12%,-11.45%,-14.60%,0.38%,15.93,10.65
2333,5.21%,4.73%,21.31%,44.00%,92.28%,-,424.50
2334,-13.23%,-35.06%,-56.73%,-69.91%,-69.35%,2.70,0.33
2335,,,,,,,
2336,,,,,,,
2337,3.62%,0.61%,2.71%,-0.32%,27.86%,28.33,24.49
2338,,,,,,,
2339,-0.32%,0.93%,10.73%,29.52%,67.29%,-,20.29
2340,-1.33%,16.19%,10.97%,-24.96%,-,6.05,4.47
2341,4.45%,6.25%,11.73%,12.69%,65.82%,33.95,31.41
2342,-9.02%,-27.85%,-51.99%,-48.69%,-67.71%,23.33,3.77
2343,2.91%,-0.06%,-3.44%,-5.39%,-0.77%,238.96,207.36
2344,,,,,,,
2345,5.33%,-6.38%,10.61%,11.00%,7.96%,17.00,10.96
2346,2.48%,-4.85%,-0.65%,-6.58%,24.11%,15.60,16.04
2347,3.68%,6.46%,4.92%,2.28%,21.81%,19.42,17.69
2348,1.69%,3.37%,20.89%,47.28%,375.44%,18.17,16.39
2349,,,,,,,
2350,,,,,,,
2351,6.62%,4.70%,20.85%,28.71%,50.19%,88.93,83.81
2352,-0.31%,-0.61%,0.05%,-0.94%,-,-,9.72
2353,10.08%,13.21%,19.40%,28.53%,297.27%,5.00,4.39
2354,-7.85%,-28.06%,-39.03%,-28.56%,-27.71%,17.83,7.27
2355,,,,,,,
2356,,,,,,,
2357,0.94%,-5.14%,-7.79%,-14.09%,-1.38%,-,30.05
2358,,,,,,,
2359,,,,,,,
2360,,,,,,,
2361,,,,,,,
2362,,,,,,,
2363,-10.58%,-20.19%,-45.44%,-79.40%,-36.71%,16.30,4.55
2364,,,,,,,
2365,,,,,,,
2366,,,,,,,
2367,7.43%,11.56%,15.06%,49.00%,59.17%,307.25,307.74
2368,5.07%,3.86%,4.15%,3.82%,32.71%,706.17,658.16
2369,2.94%,0.45%,12.11%,-1.03%,9.24%,-,50.79
2370,0.00%,-0.30%,0.41%,0.92%,-3.82%,-,9.83
2371,0.90%,11.27%,16.23%,-4.68%,-7.04%,83.41,68.85
2372,-2.54%,-14.81%,-21.23%,-41.92%,-3.02%,3.60,1.17
2373,-15.28%,-21.29%,-27.38%,-44.04%,-61.76%,-,1.22
2374,,,,,,,
2375,,,,,,,
2376,-5.41%,-20.49%,-48.13%,-43.26%,-32.82%,35.00,10.63
2377,3.06%,5.72%,8.43%,-18.15%,-22.13%,198.60,173.01
2378,,,,,,,
2379,2.05%,9.24%,5.86%,160.38%,155.12%,23.75,16.99
2380,-13.19%,-24.70%,-37.81%,-50.98%,-29.38%,4.15,1.28
2381,,,,,,,
2382,,,,,,,
2383,4.56%,-36.60%,-67.61%,-71.12%,86.25%,-,2.92
2384,,,,,,,
2385,,,,,,,
2386,,,,,,,
2387,,,,,,,
2388,,,,,,,
2389,,,,,,,
2390,,,,,,,
2391,-6.97%,-3.81%,23.05%,-1.14%,-,26.33,13.60
2392,,,,,,,
2393,,,,,,,
2394,-1.02%,-3.81%,-14.71%,-33.87%,-55.18%,15.00,5.88
2395,-4.65%,-6.67%,-10.83%,-11.58%,34.40%,-,8.40
2396,-26.90%,-32.90%,-41.37%,-,-,38.67,16.43
2397,5.71%,55.79%,31.21%,12.29%,11.28%,10.94,7.65
2398,-7.03%,-24.50%,-40.29%,-16.65%,52.43%,35.00,13.80
2399,,,,,,,
2400,-10.77%,-8.48%,-34.13%,-3.62%,-,48.33,9.07
2401,,,,,,,
2402,2.31%,17.91%,57.76%,74.28%,127.10%,85.75,91.03
2403,-10.20%,-33.67%,-27.47%,-58.49%,-57.56%,6.75,1.35
2404,-16.37%,-15.95%,-31.58%,-38.20%,-36.96%,-,0.47
2405,,,,,,,
2406,-10.00%,-11.91%,-36.40%,-61.10%,-60.00%,16.00,5.82
2407,,,,,,,
2408,3.07%,6.14%,9.16%,9.81%,30.02%,24.80,23.76
2409,,,,,,,
2410,,,,,,,
2411,,,,,,,
2412,,,,,,,
2413,,,,,,,
2414,,,,,,,
